time,spatial_ref,ET_m3_day
2021-06-16,0,4474588.5
2021-06-17,0,4722937.0
2021-06-18,0,5199817.0
2021-06-19,0,5434115.5
2021-06-20,0,5533702.5
2021-06-21,0,5562276.5
2021-06-22,0,5328660.0
2021-06-23,0,5583220.0
2021-06-24,0,6402069.5
2021-06-25,0,6444948.0
2021-06-26,0,4120618.2
2021-06-27,0,3959025.5
2021-06-28,0,3928059.2
2021-06-29,0,3873951.2
2021-06-30,0,4253360.5
2021-07-01,0,3825059.2
2021-07-02,0,4137547.0
2021-07-03,0,4081501.0
2021-07-04,0,5937793.0
2021-07-05,0,6118817.5
2021-07-06,0,5418107.5
2021-07-07,0,5341172.0
2021-07-08,0,5345964.5
2021-07-09,0,5289795.5
2021-07-10,0,5592057.0
2021-07-11,0,5830759.0
2021-07-12,0,5982553.0
2021-07-13,0,5594954.0
2021-07-14,0,5535972.5
2021-07-15,0,5554052.5
2021-07-16,0,5603397.5
2021-07-17,0,5888605.5
2021-07-18,0,5696180.5
2021-07-19,0,5765792.5
2021-07-20,0,5606574.0
2021-07-21,0,5320092.0
2021-07-22,0,6069067.5
2021-07-23,0,5500287.0
2021-07-24,0,4968777.0
2021-07-25,0,5580905.5
2021-07-26,0,5670111.0
2021-07-27,0,5255990.0
2021-07-28,0,5389904.5
2021-07-29,0,5757251.0
2021-07-30,0,5778438.5
2021-07-31,0,6150058.5
2021-08-01,0,6098292.0
2021-08-02,0,5646168.5
2021-08-03,0,6009702.0
2021-08-04,0,5605445.5
2021-08-05,0,4511257.5
2021-08-06,0,4271357.5
2021-08-07,0,4263475.0
2021-08-08,0,4307895.0
2021-08-09,0,4355294.0
2021-08-10,0,4444970.0
2021-08-11,0,4261965.5
2021-08-12,0,4128360.2
2021-08-13,0,4415184.5
2021-08-14,0,4738297.5
2021-08-15,0,4764506.0
2021-08-16,0,4800048.0
2021-08-17,0,4990090.0
2021-08-18,0,4751983.0
2021-08-19,0,4768439.5
2021-08-20,0,4712440.5
2021-08-21,0,3599228.2
2021-08-22,0,3586608.2
2021-08-23,0,3637276.2
2021-08-24,0,3916894.0
2021-08-25,0,3825839.2
2021-08-26,0,3989538.5
2021-08-27,0,3872495.2
2021-08-28,0,3761036.5
2021-08-29,0,4879428.5
2021-08-30,0,4909528.5
2021-08-31,0,4219761.5
